Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
6375, 0.00502774, 1, -34, -6, -3, -0.120605, 0.358398, 1.11914
6376, 0.0050457, 2, -7, 4, 4, -0.120605, 0.358398, 1.11914
6377, 0.00492438, 2, -7, 4, 4, -0.120605, 0.358398, 1.11914
6378, 0.00504021, 0, -7, -1, -3, -0.120605, 0.358398, 1.11914
6379, 0.00498156, 2, 15, -2, 0, -0.0888672, 0.386719, 1.06738
6380, 0.00499769, 2, 15, -2, 0, -0.0888672, 0.386719, 1.06738
6381, 0.00498926, 2, 15, -2, 0, -0.0888672, 0.386719, 1.06738
6382, 0.00498486, 6, 7, 1, 1, -0.0786133, 0.401367, 1.03027
6383, 0.0049669, 6, 7, 1, 1, -0.0786133, 0.401367, 1.03027
6384, 0.00502591, 10, -33, -3, -1, -0.0786133, 0.401367, 1.03027
6385, 0.00495517, 16, -11, 4, 1, -0.0786133, 0.401367, 1.03027
6386, 0.00511498, 16, -11, 4, 1, -0.0786133, 0.401367, 1.03027
6387, 0.00493941, 16, -11, 4, 1, -0.105957, 0.401855, 0.992188
6388, 0.0052385, 10, 16, 5, -2, -0.105957, 0.401855, 0.992188
6389, 0.00477264, 10, 16, 5, -2, -0.105957, 0.401855, 0.992188
6390, 0.00500392, -13, 10, -5, -6, -0.105957, 0.401855, 0.992188
6391, 0.0049559, -16, -1, 3, 6, -0.155273, 0.401367, 0.946777
6392, 0.00505304, -16, -1, 3, 6, -0.155273, 0.401367, 0.946777
6393, 0.00490092, -16, -1, 3, 6, -0.155273, 0.401367, 0.946777
6394, 0.00510985, -19, -7, -14, -3, -0.210938, 0.443848, 0.925293
6395, 0.00499036, -19, -7, -14, -3, -0.210938, 0.443848, 0.925293
6396, 0.00503398, -16, -3, -4, -2, -0.210938, 0.443848, 0.925293
6397, 0.00494124, -9, 1, 3, 3, -0.210938, 0.443848, 0.925293
6398, 0.00491705, -9, 1, 3, 3, -0.210938, 0.443848, 0.925293
6399, 0.00495407, -9, 1, 3, 3, -0.255371, 0.447266, 0.878906
